url,bbox
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BestFishingWaters_Streams202205.xml', '', '', '', '', '', ","-80.519250,39.743440,-74.953620,42.254430"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Bituminous_Surface_Mine_Permits202211.xml', '', '', '', '', '', ","-80.576239,39.698869,-76.312967,41.812382"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BlairCounty_AddressPoints202210.xml', '', '', '', '', '', ","-078.6363948,40.2160225,-078.0972802,40.7661760"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BlairCounty_Parcels202210.xml', '', '', '', '', '', ","-078.6363948,40.2160225,-078.0972802,40.7661760"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BlairCounty_StreetCenterlines202210.xml', '', '', '', '', '', ","-078.6688913,40.2275387,-078.1102622,40.7609711"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Boating_SpecReg_Lakes202108.xml', '', '', '', '', '', ","-80.541600,39.721460,-74.816150,42.375000"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Boating_SpecReg_Pt202108.xml', '', '', '', '', '', ","-80.504110,39.766580,-74.815830,42.173060"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Boating_SpecReg_Streams201601.xml', '', '', '', '', '', ","-80.309310,39.848260,-74.734560,41.905420"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BradfordCounty_AccessLines202006.xml', '', '', '', '', '', ","-76.928761,41.543166,-76.108555,42.006869"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BradfordCounty_Address202006.xml', '', '', '', '', '', ","-76.928695,41.545621,-76.108560,42.006669"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BradfordCounty_MunicipalBoundaries202006.xml', '', '', '', '', '', ","-76.932776,41.539886,-76.106404,42.007010"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BradfordCounty_ParcelHooks202006.xml', '', '', '', '', '', ","-76.927151,41.544474,-76.107959,42.005932"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BradfordCounty_Parcels202006.xml', '', '', '', '', '', ","-76.933303,41.540071,-76.105135,42.007008"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BradfordCounty_RCL202006.xml', '', '', '', '', '', ","-76.930573,41.541278,-76.107104,42.006882"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCounty_Site_Address_Points202207.xml', '', '', '', '', '', ","-75.484100,40.048719,-74.721510,40.608531"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyCongressionalDistrict202001.xml', '', '', '', '', '', ","-75.483705,40.049011,-74.721521,40.608433"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyDropbox_Locations202207.xml', '', '', '', '', '', ","-75.484100,40.048719,-74.721510,40.608531"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyMagisterialDistricts202001.xml', '', '', '', '', '', ","-75.484100,40.048719,-74.721510,40.608531"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyMajorRoads202001.xml', '', '', '', '', '', ","-75.471955,40.055824,-74.760395,40.608525"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyMunicipalBoundary202001.xml', '', '', '', '', '', ","-75.484100,40.048719,-74.721510,40.608531"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyMunicipalZoning202207.xml', '', '', '', '', '', ","-75.484100,40.048719,-74.721510,40.608531"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyParcels202207.xml', '', '', '', '', '', ","-75.484100,40.048719,-74.721510,40.608531"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyPollingPlaces202207.xml', '', '', '', '', '', ","-75.448553,40.068083,-74.771233,40.596316"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BucksCountyProposedDevelopments202207.xml', '', '', '', '', '', ","-75.456799,40.055094,-74.723684,40.571806"
